Geography_Name,geography_level,geography_level_sort_order,parent_geography_name,geography_name_order,State,Demographic_Level,Demographic_Name,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,Month_Week_Order,Week_Ending,MMWR_Year,MMWR_Week,MMWR_Day,Month_Week,MMWRWeek_Display_Order,Month_Display_Order,Current_Season_Week_Ending_Label,Influenza_Season,Point_Estimate,CI_HalfWidth,Upper_CI,Lower_CI,n_unweighted,n_weighted,Legend_Label,Current_Through
National,National,1,National,1,National,Age,13-17 years,2,23,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,19.1882,2.3465,21.5347,16.8416,1440,20814026,"2019-2020, National. Age: 13-17 years",2020-06-27
National,National,1,National,1,National,Urbanicity,Rural (Non-MSA),4,41,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,20.9898,3.5406,24.5304,17.4493,975,9210830,"2019-2020, National. Urbanicity: Rural (Non-MSA)",2020-06-27
National,National,1,National,1,National,Urbanicity,Urban MSA Principal City,4,43,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,24.675,2.7473,27.4222,21.9277,1526,20609582,"2019-2020, National. Urbanicity: Urban MSA Principal City",2020-06-27
National,National,1,National,1,National,Age,6 months-4 years,2,21,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,29.8167,3.2641,33.0808,26.5526,2068,17910001,"2019-2020, National. Age: 6 months-4 years",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,All Races/Ethnicities,3,31,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.604,1.403,25.0069,22.201,5774,71475238,"2019-2020, National. Race/Ethnicity: Overall",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,"Black, Non-Hispanic",3,32,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,24.6209,3.9074,28.5283,20.7135,591,9805458,"2019-2020, National. Race/Ethnicity: Black, Non-Hispanic",2020-06-27
Alabama,State,2,National,2,Alabama,Overall,Overall,1,11,241,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.2071,5.4882,28.6952,17.7189,159,1973326,"2019-2020, Alabama. Overall: Overall",2020-06-27
Alaska,State,2,National,3,Alaska,Overall,Overall,1,11,341,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,17.4823,2.5659,20.0483,14.9164,132,380994,"2019-2020, Alaska. Overall: Overall",2020-06-27
Arizona,State,2,National,4,Arizona,Overall,Overall,1,11,441,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,17.7188,4.1771,21.896,13.5417,116,4820498,"2019-2020, Arizona. Overall: Overall",2020-06-27
Arkansas,State,2,National,5,Arkansas,Overall,Overall,1,11,541,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,14.8532,1.9963,16.8494,12.8569,77,738345,"2019-2020, Arkansas. Overall: Overall",2020-06-27
California,State,2,National,6,California,Overall,Overall,1,11,641,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,24.3111,7.3908,31.7019,16.9202,88,5510310,"2019-2020, California. Overall: Overall",2020-06-27
Colorado,State,2,National,7,Colorado,Overall,Overall,1,11,741,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,25.2049,8.3974,33.6022,16.8075,91,1180143,"2019-2020, Colorado. Overall: Overall",2020-06-27
Connecticut,State,2,National,8,Connecticut,Overall,Overall,1,11,841,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,27.9929,11.6614,39.6542,16.3315,89,924903,"2019-2020, Connecticut. Overall: Overall",2020-06-27
Delaware,State,2,National,9,Delaware,Overall,Overall,1,11,941,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,22.2943,6.9622,29.2565,15.3321,105,642238,"2019-2020, Delaware. Overall: Overall",2020-06-27
District of Columbia,State,2,National,10,District of Columbia,Overall,Overall,1,11,1041,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.8407,4.4562,28.2969,19.3846,163,576764,"2019-2020, District of Columbia. Overall: Overall",2020-06-27
Florida,State,2,National,11,Florida,Overall,Overall,1,11,1141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,20.5586,5.2179,25.7765,15.3407,92,1377423,"2019-2020, Florida. Overall: Overall",2020-06-27
Georgia,State,2,National,12,Georgia,Overall,Overall,1,11,1241,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,17.4681,2.7079,20.176,14.7602,103,2769005,"2019-2020, Georgia. Overall: Overall",2020-06-27
Hawaii,State,2,National,13,Hawaii,Overall,Overall,1,11,1341,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,32.8134,12.7287,45.5421,20.0847,70,345901,"2019-2020, Hawaii. Overall: Overall",2020-06-27
Idaho,State,2,National,14,Idaho,Overall,Overall,1,11,1441,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,20.2988,7.3091,27.6079,12.9897,49,467828,"2019-2020, Idaho. Overall: Overall",2020-06-27
Illinois,State,2,National,15,Illinois,Overall,Overall,1,11,1541,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,27.3146,7.6565,34.9711,19.6581,193,2854264,"2019-2020, Illinois. Overall: Overall",2020-06-27
City of Chicago,Local,3,Illinois,16,Illinois,Overall,Overall,1,11,1641,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,25.5564,7.9756,33.532,17.5808,55,799179,"2019-2020, City of Chicago. Overall: Overall",2020-06-27
Indiana,State,2,National,18,Indiana,Overall,Overall,1,11,1841,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,17.8278,4.2789,22.1067,13.5488,107,1554145,"2019-2020, Indiana. Overall: Overall",2020-06-27
Iowa,State,2,National,19,Iowa,Overall,Overall,1,11,1941,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,25.6696,12.643,38.3126,13.0266,79,869396,"2019-2020, Iowa. Overall: Overall",2020-06-27
Kansas,State,2,National,20,Kansas,Overall,Overall,1,11,2041,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,21.951,13.6707,35.6217,8.2803,31,161145,"2019-2020, Kansas. Overall: Overall",2020-06-27
Kentucky,State,2,National,21,Kentucky,Overall,Overall,1,11,2141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,24.5522,10.7029,35.2551,13.8493,74,1176669,"2019-2020, Kentucky. Overall: Overall",2020-06-27
Louisiana,State,2,National,22,Louisiana,Overall,Overall,1,11,2241,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,27.6762,11.4919,39.1681,16.1843,104,652543,"2019-2020, Louisiana. Overall: Overall",2020-06-27
Maine,State,2,National,23,Maine,Overall,Overall,1,11,2341,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,17.3951,3.864,21.2591,13.531,94,291241,"2019-2020, Maine. Overall: Overall",2020-06-27
Maryland,State,2,National,24,Maryland,Overall,Overall,1,11,2441,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,29.7142,7.9614,37.6756,21.7528,154,845301,"2019-2020, Maryland. Overall: Overall",2020-06-27
